1,Jamal,Lindrum,9,South Anchorage High School,Anchorage,AK,408,555,1111,100123
2,Julia,Juarez,9,Provo High School,Provo,UT,408,555,1112,120311
3,Connie,Chan,9,Central York High School,York,PA,408,555,1113,116369
4,Tom,Cho,9,Gresham High School,Gresham,OR,408,555,1114,112950
5,Sarah,Warnick,9,Tesoro High School,Ladera Ranch,CA,408,555,1115,100449
6,Ashvin,Matthews,10,Allen High School,Allen,TX,408,555,1116,115985
7,Cameron,Barnes,10,Camden High School,Camden,NJ,408,555,1117,111885
8,Patti,Carmargo,10,El Toro High School,Lake Forest,CA,408,555,1118,103092
9,Mimi,Lockwood,10,Mission Viejo High School,Mission Viejo,CA,408,555,1119,103096
10,Betty,Condos,10,Trabuco Hills High School,Foothill Ranch,CO,408,555,1120,103098
11,Jorge,Molina,11,Moberly Senior High School,Moberly,MO,408,555,1121,109802
12,Mohammed,Al-Sim,11,Blue Valley Southwest High,Overland Park,KS,408,555,1122,104400
13,Leslie,Weiskopf,11,Highland High School,Gilbert,AZ,408,555,1123,101326
14,Beth,Green,11,Haynes Academy,Metairie,LA,408,555,1124,207824
15,Louise,Schmidt,11,Havermale High School,Spokane,WA,408,555,1125,120530
16,Rachel,Heino,12,Havermale High School,Spokane,WA,408,555,1126,120530
17,Tom,Sodi,12,Naperville Central High School,Naperville,IL,408,555,1127,106304
18,Sienna,Graham,12,Honolulu Waldorf School,Honolulu,HI,408,555,1128,200737
19,Liam,O'Farrell,12,New Design High School,NYC,NY,408,555,1129,113978
20,Chase,Griffin,12,Laguna Beach High School,Laguna Beach,CA,408,555,1130,101757
21,Tomas,Hummel,12,Palo Alto High,Palo Alto,CA,408,555,1131,102689
22,Kwame,Chidike,10,Palo Alto High,Palo Alto,CA,408,555,1132,102689
23,Jenny,McCarthy,11,Palo Alto High,Palo Alto,CA,408,555,1133,102689
24,Adam,Molina,10,Palo Alto High,Palo Alto,CA,408,555,1134,102689
25,Patricia,Mastropietro,10,Palo Alto High,Palo Alto,CA,408,555,1135,102689
26,Tammy,Berth,10,Palo Alto High,Palo Alto,CA,408,555,1136,102689
27,shirley,wade,12,Palo Alto High,Palo Alto,CA,408,555,1137,102689
28,paul,watson,10,Palo Alto High,Palo Alto,CA,408,555,1138,102689
29,Gene,Phillips,12,Palo Alto High,Palo Alto,CA,408,555,1139,102689
30,Sarah,Miller,12,Palo Alto High,Palo Alto,CA,408,555,1140,102689
31,Lewis,Meza,12,Palo Alto High,Palo Alto,CA,408,555,1141,102689
32,Ivan,Albert,9,Palo Alto High,Palo Alto,CA,408,555,1142,102689
33,Lucy,Wong,9,Palo Alto High,Palo Alto,CA,408,555,1143,102689
34,Farhad,Malik,12,Palo Alto High,Palo Alto,CA,408,555,1144,102689
35,Helen,Nicosia,11,Palo Alto High,Palo Alto,CA,408,555,1145,102689
36,Jamie,Brown,10,Palo Alto High,Palo Alto,CA,408,555,1146,102689
37,Oscar,Hubbard,9,Palo Alto High,Palo Alto,CA,408,555,1147,102689
38,John,Brothers,11,Palo Alto High,Palo Alto,CA,408,555,1148,102689
39,Ken,Emery,12,Palo Alto High,Palo Alto,CA,408,555,1149,102689
40,Martha,Dillon,12,Palo Alto High,Palo Alto,CA,408,555,1150,102689
41,Shirley,Watson,9,Palo Alto High,Palo Alto,CA,408,555,1151,102689
42,Jackie,Halley,12,Palo Alto High,Palo Alto,CA,408,555,1152,102689
43,Jay,Chung,12,Palo Alto High,Palo Alto,CA,408,555,1153,102689
44,Stacey,Liu,10,Palo Alto High,Palo Alto,CA,408,555,1154,102689
45,Ashley,Chan,12,Palo Alto High,Palo Alto,CA,408,555,1155,102689
46,Charles,Ma,11,Palo Alto High,Palo Alto,CA,408,555,1156,102689
47,Erica,Pu,9,Palo Alto High,Palo Alto,CA,408,555,1157,102689
48,Stacey,Wong,9,Palo Alto High,Palo Alto,CA,408,555,1158,102689
49,Peter,Thiel,11,Palo Alto High,Palo Alto,CA,408,555,1159,102689
50,Angie,Nguyen,11,Palo Alto High,Palo Alto,CA,408,555,1160,102689
